code,name,native_speakers,country,region,gl,anglicized_name
nmz,Nawdm,152000,Togo,Africa,fr,Nawdm
wha,Manusela,7000,Indonesia,Pacific,id,Manusela
tdj,Tajio,12000,Indonesia,Pacific,id,Tajio
pku,Paku,3500,Indonesia,Pacific,id,Paku
aaq,Eastern Abnaki,,United States,Americas,en,Abenaki
ppm,Papuma,600,Indonesia,Pacific,id,Papuma
ado,Abu,4200,Papua New Guinea,Pacific,tpi,Abu
adr,Adonara,98000,Indonesia,Pacific,id,Adonara
aag,Ambrak,290,Papua New Guinea,Pacific,tpi,Ambrak
abw,Pal,1200,Papua New Guinea,Pacific,tpi,Pal
bgi,Giangan,55000,Philippines,Asia,ceb,Giangan
pcp,Pacahuara,,Bolivia,Americas,es-419,Pacahuara
pkg,Pak-Tong,970,Papua New Guinea,Pacific,tpi,Pak-Tong
aak,Ankave,1600,Papua New Guinea,Pacific,tpi,Ankave
aby,Aneme Wake,650,Papua New Guinea,Pacific,tpi,Aneme Wake
pna,Punan Bah-Biau,450,Malaysia,Asia,ms,Penan
piu,Pintupi-Luritja,,Australia,Pacific,en,Pintupi-Luritja
piz,Pije,,New Caledonia,Pacific,en,Pije
abf,Abai Sungai,500,Malaysia,Asia,ms,Abai Sungai
pkn,Pakanha,,Australia,Pacific,en,Pakanha
prl,Peruvian Sign Language,,Peru,Americas,es-419,Peruvian Sign Language
pks,Pakistan Sign Language,7400000,Pakistan,Eurasia,ur,Pakistan Sign Language
acr,Achi,,Guatemala,Americas,es-419,Achi
agj,Argobba,44000,Ethiopia,Africa,am,Argobba
phw,Phangduwali,290,Nepal,South Asia,ne,Phangduwali
abc,Ambala Ayta,1660,Philippines,Asia,ceb,Ayta
abd,Manide,3800,Philippines,Asia,ilo,Manide
aed,Argentine Sign Language,,Argentina,Americas,es-419,Argentine Sign Language
aeq,آیر زبان,150,Pakistan,Eurasia,ur,Aer
pho,Phunoi,43000,Laos,Asia,lo,Phunoi
aem,Arem,85,Vietnam,Asia,vi,Arem
aek,Haeke,,New Caledonia,Pacific,en,Haeke
acv,Achumawi,,United States,Americas,en,Achumawi
abv,العربية البحرانية,600000,Bahrain,Eurasia,ar,Arabic
aca,Achagua,,Colombia,Americas,es-419,Achagua
alc,Qawasqar,,Chile,Americas,es-419,Qawasqar
pcn,Piti,8100,Nigeria,Africa,en,Piti
adu,Aduge,1900,Nigeria,Africa,en,Aduge
abm,Abanyom,13000,Nigeria,Africa,en,Abanyom
abn,Abua,25000,Nigeria,Africa,en,Abua
acb,Áncá,300,Nigeria,Africa,en,Áncá
pil,Yom,330000,Benin,Africa,fr,Yom
nmg,Kwasio,26000,Cameroon,Africa,fr,Kwasio
gou,Gavar,15000,Cameroon,Africa,fr,Gavar
ael,Ambele,2600,Cameroon,Africa,fr,Ambele
bgj,Bangolan,16000,Cameroon,Africa,fr,Bangolan
abb,Bankon,14000,Cameroon,Africa,fr,Bankon
add,Dzodinka,2500,Cameroon,Africa,fr,Dzodinka
abr,Abron,1400000,Ghana,Africa,en,Abron
ada,Adangme,710000,Ghana,Africa,en,Dangme
adh,Adhola,415000,Uganda,Africa,en,Adhola
adj,Adioukrou,120000,Côte d’Ivoire,Africa,fr,Adioukrou
adw,Amundava,70,Brazil,Americas,pt,Amundava
ttt-x-ismai,Ismaili,,Azerbaijan,Eurasia,ru,Ismaili
ttt-x-txizi,Xizi,,Azerbaijan,Eurasia,ru,Chichi
ahl,Igo,8000,Togo,Africa,fr,Igo
aia,Arosi,,Solomon Islands,Pacific,pis,Arosi
aio,Aiton,1500,India,South Asia,as,Aiton
aks,Akaselem,62000,Togo,Africa,fr,Akaselem
kpo,Ikposo,161000,Togo,Africa,fr,Ikposo
anm,Anal,23200,India,South Asia,mni,Anal
prp,Parsi,151000,India,South Asia,gu,Parsi
bxo,Barikanchi,-1,Nigeria,Africa,en,Barikanchi
amu,Guerrero Amuzgo,,Mexico,Americas,es-419,Amuzgo
pni,Aoheng,2630,Indonesia,Pacific,id,Aoheng
agf,Arguni,150,Indonesia,Pacific,id,Arguni
ana,Andaqui,,Colombia,Americas,es-419,Andaqui
ple,Palu'e,3000,Indonesia,Pacific,id,Palu’e
ahh,Aghu,3000,Indonesia,Pacific,id,Aghu
aim,Aimol,2600,India,South Asia,hi,Aimol
pem-x-gipendega,Gipende Gatundu,,Democratic Republic of the Congo,Africa,fr,
nlo,Ngul,125000,Democratic Republic of the Congo,Africa,fr,Ngul
pms,Piemontese,,Italy,Eurasia,en,Piemontese
amv,Ambelau,8500,Indonesia,Pacific,id,Ambelau
nkz,Nkari,22000,Nigeria,Africa,en,Nkari
and,Ansus,7200,Indonesia,Pacific,id,Ansus
poq,Texistepec Popoluca,,Mexico,Americas,es-419,Popoluca
puf,Punan Merah,200,Indonesia,Pacific,id,Punan Merah
akc,Mpur,9800,Indonesia,Pacific,id,Mpur
ppa,Pao,53000,India,South Asia,hi,Pao
air,Airoran,1400,Indonesia,Pacific,id,Airoran
agk,Isarog Agta,1000,Philippines,Asia,ilo,Agta
akr,Araki,,Vanuatu,Pacific,fr,Araki
psa,Asue Awyu,8000,Indonesia,Pacific,id,Awyu
alj,Alangan,7700,Philippines,Asia,ilo,Alangan
nnf,Ngaing,2000,Papua New Guinea,Pacific,tpi,Ngaing
ipo,Ipiko,350,Papua New Guinea,Pacific,tpi,Ipiko
ahn,Àhàn,250,Nigeria,Africa,en,Àhàn
psw,Port Sandwich,,Vanuatu,Pacific,fr,Port Sandwich
aif,Agi,960,Papua New Guinea,Pacific,tpi,Agi
aic,Ainbai,100,Papua New Guinea,Pacific,tpi,Ainbai
aik,Ake,3100,Nigeria,Africa,en,Ake
anh,Nend,2000,Papua New Guinea,Pacific,tpi,Nend
akq,Ak,75,Papua New Guinea,Pacific,tpi,Ak
anj,Anor,980,Papua New Guinea,Pacific,tpi,Anor
akf,Akpa,90000,Nigeria,Africa,en,Akpa
prw,Parawen,430,Papua New Guinea,Pacific,tpi,Parawen
agn,Agutaynen,15000,Philippines,Asia,en,Agutaynen
agu,Aguacateco,,Guatemala,Americas,es-419,Awakateko
agw,Kahua,,Solomon Islands,Pacific,pis,Kahua
ahb,Axamb,,Vanuatu,Pacific,fr,Axamb
agl,Fembe,350,Papua New Guinea,Pacific,tpi,Fembe
ail,Aimele,140,Papua New Guinea,Pacific,tpi,Aimele
aki,Aiome,750,Papua New Guinea,Pacific,tpi,Aiome
ala,Alago,29500,Nigeria,Africa,en,Alago
bgl,Bo (Laos),3400,Laos,Asia,lo,Bo
aht,Ahtena,,United States,Americas,en,Ahtena
iba-x-dayakbanjur,Dayak Banjur,,Indonesia,Pacific,id,
nkx,Nkoroo,4600,Nigeria,Africa,en,Nkoroo
akl,Aklanon,435000,Philippines,Asia,en,Inakeanon
alh,Alawa,,Australia,Pacific,en,Alawa
yor-x-ondo,Ondo,,Nigeria,Africa,en,Ondo
akw,Akwa,28000,Congo,Africa,fr,Akwa
aiy,Ali,69000,Central African Republic,Africa,fr,Ali
anf,Animere,25,Ghana,Africa,en,Animere
nlo-x-ngwi,Ngwi,,Democratic Republic of the Congo,Africa,fr,
pre,Principense,160,São Tomé e Príncipe,Africa,pt,Principense
kan-x-palligaru,Palligaru,,India,South Asia,kn,
ard,Arabana,,Australia,Pacific,en,Arabana
apj,Jicarilla Apache,,United States,Americas,en,Apache
psl,Puerto Rican Sign Language,,Puerto Rico,Americas,es-419,Puerto Rican Sign Language
las,Lama (Togo),207000,Togo,Africa,fr,Lama
psn,Panasuan,800,Indonesia,Pacific,id,Panasuan
mia,Miami,,United States,Americas,en,Miami
apx,Aputai,120,Indonesia,Pacific,id,Aputai
asz,As,230,Indonesia,Pacific,id,As
apn,Apinayé,1260,Brazil,Americas,pt,Apinayé
psi,Southeast Pashai,180000,Afghanistan,Eurasia,ps,Pashai
atq,Aralle-Tabulahan,12000,Indonesia,Pacific,id,Aralle-Tabulahan
apg,Ampanang,38000,Indonesia,Pacific,id,Ampanang
aol,Alor,40000,Indonesia,Pacific,id,Alor
bvh,Bure,20,Nigeria,Africa,en,Bure
qul,North Bolivian Quechua,,Bolivia,Americas,es-419,Quechua
asy,Yaosakor Asmat,2900,Indonesia,Pacific,id,Asmat
aws,South Awyu,12000,Indonesia,Pacific,id,Awyu
anz,Anem,800,Papua New Guinea,Pacific,tpi,Anem
apk,Kiowa Apache,,United States,Americas,en,Apache
aod,Andarum,2200,Papua New Guinea,Pacific,tpi,Andarum
anx,Andra-Hus,1300,Papua New Guinea,Pacific,tpi,Andra-Hus
aoe,Angal Enen,80000,Papua New Guinea,Pacific,tpi,Angal Enen
qud,Calderón Highland Quichua,,Ecuador,Americas,es-419,Quichua
aof,Bragat,460,Papua New Guinea,Pacific,tpi,Bragat
apo,Ambul,10800,Papua New Guinea,Pacific,tpi,Ambul
qxs,Southern Qiang,81300,China,Asia,zh,Qiang
aso,Dano,30000,Papua New Guinea,Pacific,tpi,Dano
asx,Muratayak,1100,Papua New Guinea,Pacific,tpi,Muratayak
ate,Atemble,60,Papua New Guinea,Pacific,tpi,Atemble
apu,Apurinã,2000,Brazil,Americas,pt,Apurinã
arj,Arapaso,-1,Brazil,Americas,pt,Arapaso
app,Apma,,Vanuatu,Pacific,fr,Apma
asn,Xingú Asuriní,70,Brazil,Americas,pt,Asurini of Xingú
psm,Pauserna,,Bolivia,Americas,es-419,Pauserna
atz,Arta,11,Philippines,Asia,ilo,Arta
atw,Atsugewi,,United States,Americas,en,Atsugewi
atm,Ata,2,Philippines,Asia,ceb,Ata
ayc,Southern Aymara,,Peru,Americas,es-419,Aymara
pem-x-pindi,Kipindi,,Democratic Republic of the Congo,Africa,fr,
aok,Arhö,,New Caledonia,Pacific,en,Arhö
qxq,زبان ترکی قشقایی,1600000,Iran,Eurasia,fa,Kashkay
atn,زبان آشتیانی,21000,Iran,Eurasia,fa,Ashtiani
apf,Pahanan Agta,1700,Philippines,Asia,ilo,Agta
gio,仡佬,400,China,Asia,zh,A’ou
apl,Lipan Apache,,United States,Americas,en,Apache
pwb,Panawa,33000,Nigeria,Africa,en,Panawa
aqr,Arhâ,,New Caledonia,Pacific,en,Arhâ
ari,Arikara,,United States,Americas,en,Arikara
arl,Arabela,,Peru,Americas,es-419,Arabela
anv,Denya,15000,Cameroon,Africa,fr,Denya
arp,Arapaho,,United States,Americas,en,Arapaho
atk,Ati,1000,Philippines,Asia,en,Ati
aty,Aneityum,,Vanuatu,Pacific,fr,Aneityum
aqd,Ampari Dogon,6000,Mali,Africa,fr,Dogon
bgm,Baga Mboteni,3750,Guinea,Africa,fr,Baga Mboteni
nnu,Dwang,9500,Ghana,Africa,en,Dwang
puu,Punu,147000,Gabon,Africa,fr,Punu
ayg,Ginyanga,17200,Togo,Africa,fr,Ginyanga
aud,Anuta,,Solomon Islands,Pacific,pis,Anuta
auq,Anus,70,Indonesia,Pacific,id,Anus
awr,Awera,70,Indonesia,Pacific,id,Awera
grs,Gresi,2500,Indonesia,Pacific,id,Gresi
baj,Barakai,4800,Indonesia,Pacific,id,Barakai
ret,Retta,900,Indonesia,Pacific,id,Reta
nof,Nomane,6700,Papua New Guinea,Pacific,tpi,Nomane
bbv,Karnai,920,Papua New Guinea,Pacific,tpi,Karnai
bcf,Bamu,5400,Papua New Guinea,Pacific,tpi,Bamu
avt,Au,8000,Papua New Guinea,Pacific,tpi,Au
qxa,Chiquián Ancash Quechua,,Peru,Americas,es-419,Quechua
bik,Bikol,3800000,Philippines,Pacific,tl,Bikol
cng,Northern Qiang,57800,China,Asia,zh,Qiang
qxh,Panao Huánuco Quechua,,Peru,Americas,es-419,Quechua
rie,Rien,6100,Laos,Asia,lo,Rien
rka,Kraol,1960,Cambodia,Asia,km,Kraol
rgr,Resígaro,,Peru,Americas,es-419,Resígaro
rmz,Marma,165000,Bangladesh,South Asia,bn,Marma
awx,Awara,1950,Papua New Guinea,Pacific,tpi,Awara
awm,Arawum,50,Papua New Guinea,Pacific,tpi,Arawum
aya,Awar,900,Papua New Guinea,Pacific,tpi,Awar
ayq,Ayi (Papua New Guinea),410,Papua New Guinea,Pacific,tpi,Ayi
rmg,Traveller Norwegian,,Norway,Eurasia,en,Norwegian
awb,Awa (Papua New Guinea),2300,Papua New Guinea,Pacific,tpi,Awa
bbd,Bau,3200,Papua New Guinea,Pacific,tpi,Bau
bbf,Baibai,350,Papua New Guinea,Pacific,tpi,Baibai
awk,Awabakal,,Australia,Pacific,en,Awabakal
auk,Heyo,3100,Papua New Guinea,Pacific,tpi,Heyo
wud,Wudu,1500,Togo,Africa,fr,Wudu
